Unnamed: 0,category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,jazz
5241,Metal,62xjZzP6OuYKjYsigGJO0u,36,0.365,0.861,7,-6.0520000000000005,0.0454,3.9e-05,0.823,0.0881,0.038,143.156,3,False
6096,Metal,51D3Ghf8JNrk9LuVHTwCWL,38,0.379,0.9790000000000001,9,-3.77,0.107,2.2e-05,0.877,0.45299999999999996,0.156,140.029,4,False
5298,Metal,1s7F1hOd5NREDpFdBXimjz,36,0.405,0.905,11,-5.644,0.0503,0.0483,0.0,0.261,0.308,74.987,4,False
5638,Metal,3VS66xa4yt6J0rOhdL3Pjy,4,0.531,0.9079999999999999,8,-3.397,0.0455,0.0023899999999999998,0.0,0.0949,0.5720000000000001,93.021,4,False
5303,Metal,2GdgR5kZgBgH4eQzvOgc1g,25,0.384,0.851,4,-7.877999999999999,0.0761,6.2e-05,0.841,0.316,0.5329999999999999,138.679,4,False
5910,Metal,6ZxrUCaynLgKSUudACOTwj,67,0.451,0.815,2,-5.55,0.0368,6.1e-05,0.0,0.27,0.635,147.974,4,False
6103,Metal,1BgBfbRkYwMx6eE57Hkhuf,44,0.455,0.9279999999999999,1,-5.604,0.0679,1.7e-05,0.14,0.335,0.479,173.96,4,False
6211,Metal,5Mk4LkWvSts7IA6uUrNLm3,37,0.415,0.966,11,-4.218999999999999,0.0793,3.2e-05,0.596,0.0697,0.24100000000000002,118.04299999999999,4,False
6240,Metal,12oSzrBIyirNs0aCwk6elL,13,0.258,0.907,7,-7.287000000000001,0.11199999999999999,0.0183,0.201,0.11,0.297,113.679,4,False
6277,Metal,1158ckiB5S4cpsdYHDB9IF,67,0.44299999999999995,0.7809999999999999,1,-4.277,0.0377,1.3000000000000001e-05,0.205,0.166,0.36,71.84100000000002,4,False
5802,Metal,6xqWlMHEhR9qQGFvMxMsMA,0,0.281,0.9329999999999999,7,-2.96,0.122,0.00017900000000000001,0.0,0.155,0.195,179.899,3,False
5927,Metal,4eC8kxde5otdG8EyoMQXhG,45,0.511,0.82,0,-4.5089999999999995,0.0444,0.00011999999999999999,0.00399,0.153,0.376,75.801,4,False
5696,Metal,7p0amXrQgyM53s3z9NfDty,44,0.0943,0.747,10,-6.443,0.109,0.0020800000000000003,0.782,0.0795,0.036000000000000004,161.078,4,False
5930,Metal,16c58kMqq5LnyzeByFXkzH,29,0.4370000000000001,0.961,10,-4.9510000000000005,0.0805,4.6e-05,0.0,0.0985,0.348,145.03799999999995,4,False
5470,Metal,5WTpIkizTeQa1aN6gr7LRM,0,0.506,0.21100000000000002,11,-7.0829999999999975,0.0267,0.39799999999999996,0.0,0.0898,0.228,92.90799999999999,4,False
