Unnamed: 0,category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,jazz
941,Electronic/Dance,1RzEqJCxpStIV5P1ng1w6p,50,0.316,0.344,3,-6.5489999999999995,0.0443,0.506,0.9,0.0855,0.0348,119.946,4,False
1302,Electronic/Dance,0N98QCESfFA46B7a6TTZKq,62,0.805,0.9490000000000001,6,-2.404,0.0471,0.00145,0.795,0.0655,0.677,128.005,4,False
714,Electronic/Dance,5mvXiroNv8swMbCaKOwuuN,60,0.63,0.851,1,-4.61,0.319,0.00441,0.0218,0.0939,0.5920000000000001,150.054,4,False
736,Electronic/Dance,3uRxaTDaxd7lKvEB936HHJ,24,0.662,0.547,8,-10.954,0.0422,9e-06,0.948,0.128,0.0335,127.655,4,False
1431,Electronic/Dance,09edPEy68s7QHLbR1Ol2I5,54,0.825,0.983,1,-2.526,0.0836,0.0347,0.035,0.0467,0.622,127.973,4,False
790,Electronic/Dance,3xONR6I5QGWYD3mTJG1q9V,47,0.78,0.861,5,-8.826,0.0393,0.00156,0.8490000000000001,0.157,0.375,123.015,4,False
1342,Electronic/Dance,7btpdiwTYS82CEYOWu4hHH,57,0.7859999999999999,0.809,4,-7.247000000000001,0.046,0.000472,0.77,0.247,0.0364,123.00200000000001,4,False
1173,Electronic/Dance,2LGnRxG3LqPqjQxJBxUi8i,48,0.759,0.406,5,-12.509,0.0513,0.0203,0.879,0.114,0.115,126.024,4,False
1364,Electronic/Dance,1QJSX3qst1uFk0cyqUOYhV,53,0.755,0.772,0,-5.2970000000000015,0.0597,0.0174,0.127,0.19899999999999998,0.35700000000000004,124.027,4,False
844,Electronic/Dance,1LGKBU1sGrGabC5c8gzBuj,36,0.6609999999999999,0.894,10,-6.462999999999999,0.0623,0.0773,0.9620000000000001,0.07,0.552,121.986,4,False
1469,Electronic/Dance,43FJWTHA5hPwWFfMXEjPwI,50,0.5770000000000001,0.905,9,-5.3820000000000014,0.0355,0.000741,0.00257,0.446,0.231,127.98200000000001,4,False
1010,Electronic/Dance,1a820oYJvlttsFqdbWEA9y,40,0.593,0.9520000000000001,11,-2.853,0.0585,0.0013599999999999999,0.0204,0.14400000000000002,0.0973,150.02,4,False
1119,Electronic/Dance,4Tid4MwqgR1CfKCun3tFon,69,0.7340000000000001,0.6609999999999999,11,-6.705,0.0356,0.222,2e-06,0.201,0.258,134.93,4,False
872,Electronic/Dance,3hr8AClhVJRW5y5imPp8Ss,37,0.542,0.696,5,-5.352,0.0479,0.00145,0.7759999999999999,0.594,0.16699999999999998,174.00599999999997,4,False
1358,Electronic/Dance,25bGdIgoB3blni896oRkCw,42,0.617,0.9640000000000001,2,-3.8960000000000004,0.0674,0.0012900000000000001,0.000505,0.0738,0.11599999999999999,127.973,4,False
976,Electronic/Dance,6Kh7clBaIYP3StaHmkKdrm,34,0.755,0.6829999999999999,5,-8.632,0.0627,0.008020000000000001,0.502,0.15,0.5589999999999999,122.037,4,False
1130,Electronic/Dance,5hh3Q14ZT1AjDILPcRwIU9,37,0.45399999999999996,0.899,9,-6.4220000000000015,0.0395,0.000587,0.8340000000000001,0.342,0.115,140.014,4,False
726,Electronic/Dance,6iax63A7BEFtIdD9ZVwTP2,54,0.562,0.932,0,-7.827000000000001,0.0356,0.000254,0.963,0.203,0.304,125.04899999999999,4,False
781,Electronic/Dance,1RDEORIdkRxuMb4MedxAQy,4,0.483,0.644,8,-6.024,0.0825,0.129,1.1e-05,0.0967,0.299,127.68,4,False
1504,Electronic/Dance,6U6I7FWryBiuSSRHMurwfL,36,0.708,0.746,3,-3.068,0.0741,0.00881,0.00101,0.19,0.452,104.971,4,False
858,Electronic/Dance,3IkFOsHO0kcGEiafewYOUV,46,0.8029999999999999,0.96,10,-5.775,0.0555,0.0006129999999999999,0.91,0.0798,0.5920000000000001,124.006,4,False
833,Electronic/Dance,6up28kSwDtXNk4uxk2JD6F,54,0.664,0.9670000000000001,1,-2.062,0.287,0.0156,0.000132,0.0674,0.589,150.003,4,False
1101,Electronic/Dance,0OR48Ufe3I4BhHqTLzcGGI,42,0.478,0.684,2,-5.149,0.0327,0.0777,7.000000000000003e-06,0.102,0.0593,127.93799999999999,4,False
904,Electronic/Dance,05Py3s5QEjuLPbXEP8zlF5,29,0.767,0.9940000000000001,7,-7.057,0.055,2.1e-05,0.894,0.166,0.218,126.00200000000001,4,False
1044,Electronic/Dance,1zKL8G85Yx3T9Q84TuOCSL,58,0.6809999999999999,0.392,3,-6.537999999999999,0.0342,0.174,0.7240000000000001,0.0746,0.315,127.956,4,False
1529,Electronic/Dance,39xh4dFozyTX1i6jRf4VZj,38,0.617,0.912,9,-4.5280000000000005,0.127,0.000585,0.0049299999999999995,0.8959999999999999,0.114,128.08700000000002,4,False
947,Electronic/Dance,7DTT2ywsCItbIraMyvqRj8,31,0.626,0.662,4,-5.995,0.098,0.318,0.88,0.113,0.0709,174.78900000000004,4,False
880,Electronic/Dance,3fDgxdcf0jeJgGiZJGUmyK,58,0.813,0.983,1,-5.515,0.153,0.0017699999999999999,0.546,0.502,0.763,125.007,4,False
1162,Electronic/Dance,4nYqkWpr1PeBbhIEDuM8gG,67,0.578,0.941,5,-2.452,0.0835,0.00547,0.812,0.41200000000000003,0.26899999999999996,125.986,4,False
974,Electronic/Dance,3mBF8vSXfgfz2S9XXWiq27,46,0.358,0.985,11,-3.323,0.0886,0.00449,0.00379,0.506,0.583,128.037,4,False
